trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.005, 'e': 0.4723665527410147}",20,11,2.245340016587592,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.005, 'e': 0.47001061473053796}",25,12,-10.842848075547199,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.46766642700990924}",35,23,11.701769649209819,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.005, 'e': 0.4653339309743134}",20,13,-0.31365415055202495,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.005, 'e': 0.46301306831122807}",25,0,-24.940060580332982,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
155,False,"{'a': 0.005, 'e': 0.4607037809989658}",25,0,-87.3482206986079,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.005, 'e': 0.4584060113052235}",20,10,11.94920576814357,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.005, 'e': 0.4561197017856392}",20,0,-58.429960718572445,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
158,False,"{'a': 0.005, 'e': 0.45384479528235583}",20,10,17.941873044209803,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.005, 'e': 0.4515812349225922}",20,0,-69.65657505645542,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.005, 'e': 0.44932896411722156}",20,0,-26.083866713192496,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.005, 'e': 0.4470879265593564}",30,2,-0.9928533879804149,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.005, 'e': 0.4448580662229411}",25,0,-37.00166252827423,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
163,False,"{'a': 0.005, 'e': 0.4426393273613511}",30,0,-20.06415771668322,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
